,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
723013,10,1,2021-01-30 10:37:35,2021-01-30 10:57:28,0 days 00:19:53,6.476130571698519,49.689816889757,8794.967132446196,316.91395534206816,True,224.87373491405577,0.03164646904339913,-0.9994991250606902,1047.7926034878851,233.26416782463193,-16476.97438272411,227.05472,0.00021489609,31691.395534206815,1.731898089234258,0.4862429259665644,0.00012408125709633265,1072796566743.5023,9.095905787977903e-05,23.710732,5.038008,0.1613512,1.0248252,228.81514,22.754787,4.6865325,0.001192040881508376,0.010002117451826534,-0.0037469679268200256,522.2886734390465,,,,,161650.99174576625,78601.65121185833,1.2016207916732394e-05,0.026982222927099172,54.42369350621483,3.726955535687325,6636498.515460543,0.8419839916166387,6.057230229054387e-16,2.0615637057128836e-05,,,,True,,1202,0.3313888888888889,750698.2832209179,5509946.497450484,,
723014,11,1,2021-01-30 10:37:36,2021-01-30 10:57:28,0 days 00:19:52,6.473007022025627,49.68988082784351,8800.22125400286,316.66775509527116,True,204.29843859840494,0.07134827392944822,-0.9974514643867581,1131.2388365850911,232.66595167243247,-18111.072321941843,227.00656,0.00021428587,31666.775509527117,1.7355826377372032,0.48596825617738215,0.000123466245514599,1186820510658.8142,9.097829575024512e-05,23.72281,5.0575294,0.15888421,1.0264071,228.7661,22.767561,4.705645,0.0011983926607101124,0.010006678625610091,-0.0041200667200504155,522.2771129183135,,,,,172576.73088244742,83866.81296373635,1.1873032307088895e-05,0.02644065408074096,54.16959876889781,3.6580537998774734,6877059.8712246455,0.8235072216773147,5.428165935085802e-16,1.9950876989125275e-05,,,,True,,1202,0.33111111111111113,750472.7291539705,5509943.175890851,,
723015,12,1,2021-01-30 10:37:37,2021-01-30 10:57:28,0 days 00:19:51,6.470182891842569,49.69001147943444,8816.120265103411,315.9236945394691,True,217.04516138623234,0.06765114920765856,-0.9977090367491331,1055.5657131753337,207.32404833501886,-16306.087919021238,226.86678,0.00021241081,31592.369453946914,1.7452470048067357,0.485125123436113,0.00012170816712121388,6980789779269.064,9.178799838601509e-05,23.785988,5.094037,0.1554535,1.023328,228.62334,22.832542,4.7422285,0.0012196909896832154,0.010431921023169841,-0.004265067147979682,522.2650438044114,,,,,138006.55025715881,66950.44472849631,6.119636415360104e-06,0.00851843634425359,44.839798425829244,2.1837311037604508,50583032.22753697,1.4393004828677973,5.809667569132902e-17,1.679960205628789e-05,,,,True,,1202,0.3308333333333333,750268.4224388391,5509948.276934955,,
723016,13,1,2021-01-30 10:37:38,2021-01-30 10:57:28,0 days 00:19:50,6.467173515244184,49.690143448079496,8821.3407733326,315.67968804946145,True,217.0978134218513,0.06754162005381485,-0.9977164574970717,1054.563594687009,207.07777287693992,-16280.328800027697,226.81912,0.0002118025,31567.968804946144,1.748837073710811,0.4848522818076969,0.0001211104817026246,6978532129654.237,9.179779853679167e-05,23.798292,5.1127496,0.15314656,1.0247198,228.57481,22.845537,4.760568,0.0012259473895770156,0.010431287745822807,-0.0042692810931891445,522.2523415863008,,,,,137669.41456708693,66749.32978798189,6.1143793912372266e-06,0.008507800299432662,44.7306178016548,2.1780566373744157,50690504.87066295,1.4397020973904016,5.806633922632498e-17,1.680242291978838e-05,,,,True,,1202,0.33055555555555555,750050.7527372404,5509952.914913297,,
723017,14,1,2021-01-30 10:37:39,2021-01-30 10:57:28,0 days 00:19:49,6.464163380070346,49.69027523486424,8826.568555573082,315.43549451764886,True,211.39743368851813,0.07916623380680737,-0.996861428396568,1077.03985110321,206.7957744793543,-16690.48680365926,226.77144,0.00021119347,31543.549451764888,1.752422531421525,0.4845790963238383,0.00012051515537698079,7168599520273.92,9.178954555934961e-05,23.810602,5.1315017,0.15084973,1.02609,228.52623,22.858541,4.778948,0.0012324178859839208,0.010431304313693176,-0.004385434927590339,522.2396386528645,,,,,140009.89614392247,67845.8689498164,6.092676534768264e-06,0.008458092558030946,44.60894334453855,2.1682242608537563,51200663.079593986,1.445356251243694,5.635984667773311e-17,1.6676247221622918e-05,,,,True,,1202,0.3302777777777778,749833.0303359006,5509957.538887044,,
723018,15,1,2021-01-30 10:37:40,2021-01-30 10:57:28,0 days 00:19:48,6.461236161587607,49.690425584541835,8834.807323505569,315.0509661296451,True,216.20322749987994,0.06919457932783073,-0.9976031827293076,1045.9269277722278,199.88027703644093,-15841.798154137723,226.6979,0.0002102276,31505.09661296451,1.7576772133522127,0.48414534814341414,0.00011960535372594204,28761345946506.277,9.223769759389148e-05,23.837297,5.155092,0.14829654,1.0261166,228.45123,22.886242,4.802302,0.0012429404304930359,0.010557731973052802,-0.00434799051665089,522.226791522857,,,,,130585.40086188648,63222.31436272532,3.7512029757555526e-06,0.0034384173584671054,42.1803829068182,1.826268810897241,220249321.56792694,2.0302624968946605,9.312042560896339e-18,1.557170772773606e-05,,,,True,,1202,0.33,749621.1925309462,5509964.510531053,,
723019,16,1,2021-01-30 10:37:41,2021-01-30 10:57:28,0 days 00:19:47,6.458238817334632,49.690560038463026,8840.202911352422,314.7993433683839,True,221.6080360433626,0.03359239643002696,-0.9994356161864995,1000.0676174382712,199.58821615814853,-14414.465044741168,226.64885,0.0002095991,31479.934336838392,1.7613361684531883,0.4838633829902009,0.00011900005054257289,28648132248610.773,9.224630410303682e-05,23.850386,5.1741247,0.14601728,1.0273588,228.40125,22.90004,4.820973,0.001249637604337579,0.01055798351506582,-0.004008048275287971,522.2140665637115,,,,,127957.5546946087,61913.97529368702,3.730162933633433e-06,0.0034149118958557707,42.05820880713365,1.8257756564419818,223887775.2625404,2.0947844450522135,9.332737174989942e-18,1.5357804707250022e-05,,,,True,,1202,0.32972222222222225,749404.3809491158,5509969.490682326,,
723020,17,1,2021-01-30 10:37:42,2021-01-30 10:57:28,0 days 00:19:46,6.455160854158947,49.690626923928896,8845.612137972152,314.54724793508126,True,221.67388743503312,0.03347263071853421,-0.9994396344916389,997.8996420193586,199.18850769085648,-14360.590917881858,226.59961,0.0002089718,31454.724793508125,1.765034758631228,0.4835809756439449,0.00011839529087840628,28504408096104.582,9.224308682480984e-05,23.86318,5.1939087,0.14365046,1.0286783,228.35107,22.91354,4.840367,0.0012563388161083821,0.010560554499754118,-0.004013748061364644,522.2025748124878,,,,,127396.97660238358,61606.754239469476,3.730188063783317e-06,0.003415720285636553,41.90012108213252,1.8210597856066526,223744776.8094935,2.088825158274953,9.376148850905913e-18,1.538092336402874e-05,,,,True,,1202,0.32944444444444443,749182.1032354438,5509966.701912077,,
723021,18,1,2021-01-30 10:37:43,2021-01-30 10:57:28,0 days 00:19:45,6.452081957857928,49.69069359061795,8851.0173710172,314.2955019362205,True,223.27297573622207,0.030675021329829785,-0.9995294108061126,990.2631499502507,198.79394867185096,-14210.38864303788,226.55043,0.00020834514,31429.55019362205,1.7687250571384698,0.4832988376970923,0.00011779396641687117,28166017804603.76,9.224258783185124e-05,23.875929,5.2137156,0.14129572,1.0299798,228.30098,22.926992,4.859784,0.0012629367390294987,0.010563056784762168,-0.003993232634182108,522.1910824630662,,,,,126225.359495924,61004.5695322777,3.732818011278567e-06,0.0034195344966446066,41.744180052248524,1.81678031140064,223140721.6195196,2.0822478336940473,9.487108483174577e-18,1.5438678747699254e-05,,,,True,,1202,0.32916666666666666,748959.7598506068,5509963.894858113,,
723022,19,1,2021-01-30 10:37:44,2021-01-30 10:57:28,0 days 00:19:44,6.4489803066752245,49.69075512754855,8855.6234786566,314.081103573564,True,223.4548494757793,0.0304224771678073,-0.9995371293168525,990.7653577718542,200.1847147130422,-14259.515506297315,226.50812,0.0002078132,31408.1103573564,1.7719709922022313,0.48305936366725827,0.0001172779891062445,16735087606683.438,9.203262588455179e-05,23.884838,5.232269,0.13902034,1.031618,228.25789,22.936522,4.8779116,0.0012685472638926853,0.01053061838833228,-0.003984434715062147,522.1796273586469,,,,,127427.89008669052,61555.235498738046,4.450139500169654e-06,0.004948810568212686,42.20031588944939,1.9135564755239853,131329865.03424317,1.8791728435089834,1.9329625855765916e-17,1.586694965875781e-05,,,,True,,1202,0.3288888888888889,748735.8024323657,5509960.451379238,,
