,waypoint,flight_id,formation_time,time,age,longitude,latitude,altitude,level,continuous,segment_length,sin_a,cos_a,width,depth,sigma_yz,air_temperature,specific_humidity,air_pressure,rhi,rho_air,q_sat,n_ice_per_m,iwc,u_wind,v_wind,vertical_velocity,tau_cirrus,air_temperature_lower,u_wind_lower,v_wind_lower,dT_dz,ds_dz,dsn_dz,sdr,top_net_solar_radiation,rsr,top_net_thermal_radiation,olr,area_eff,plume_mass_per_m,r_ice_vol,terminal_fall_speed,diffuse_h,diffuse_v,n_ice_per_vol,tau_contrail,dn_dt_agg,dn_dt_turb,rf_sw,rf_lw,rf_net,persistent,ef,timestep,age_hours,x,y,x_proj,y_proj
557411,123,1,2019-03-20 01:40:36,2019-03-20 01:58:36,0 days 00:18:00,134.61093696074363,32.853871195648395,10882.488514043634,230.54233710855888,True,234.27006085901198,-0.1272075522993254,-0.9918761206108424,787.2771191023757,148.7363401382869,6473.2789404089235,221.85526,9.4794756e-05,23054.23371085589,1.0485040099128102,0.3620124010383316,9.040953079102734e-05,18541670773666.82,8.659228263988331e-07,57.16423,-15.052246,0.16121064,0.038327646,223.15097,55.68755,-14.956714,0.004819026464501803,0.017265050736119582,0.0032972236972932025,1093.317030464317,957.0499,136.26710370650449,-243.52821,243.52821,82484.85977699216,29860.542137179033,7.133839847746984e-07,0.0004528226383825197,38.194606553379444,0.8703813537829351,224788777.2834491,0.09660356939860648,7.021670741140201e-20,1.4091318336843147e-05,-8.766013,1.2850943,-7.480919,True,-1379797.5299733644,1202,0.3,1025360.2405910491,3649069.771709048,,
557412,124,1,2019-03-20 01:40:37,2019-03-20 01:58:36,0 days 00:17:59,134.60844946123473,32.8536031749357,10882.885168237159,230.5279680686663,True,243.92346543490828,-0.12068889714317224,-0.9926903797792969,776.9374661013077,148.4422034667534,6183.2986493463695,221.85222,9.4775365e-05,23052.79680686663,1.0486218283834987,0.3619947893843687,9.038088143538541e-05,18426208474088.355,8.863498933652626e-07,57.16413,-15.044222,0.16091627,0.038145807,223.14813,55.687634,-14.949376,0.004817608085971017,0.01727583511714108,0.0031800829746265035,1093.305113345242,957.00635,136.29876568899203,-243.5141,243.5141,81825.35970990732,29620.35385448811,7.185116892457507e-07,0.00045693507154684186,38.06745431073752,0.8708477902458079,225189458.85987142,0.09791875238498476,7.245595841934223e-20,1.4157647925604315e-05,-8.884943,1.3111103,-7.5738325,True,-1435365.0618330706,1202,0.2997222222222222,1025128.6108808586,3649027.5733778984,,
557413,125,1,2019-03-20 01:40:38,2019-03-20 01:58:36,0 days 00:17:58,134.605857341758,32.85333840805035,10883.249460258365,230.51477200704693,True,243.93251681898076,-0.12072635165146035,-0.9926858254336705,774.4712276063539,148.2005415640909,6135.730178912935,221.84937,9.476047e-05,23051.477200704692,1.0487706152593166,0.3619787083314053,9.03538580102376e-05,18364696329327.984,9.118672967034275e-07,57.163624,-15.035857,0.1606056,0.037969913,223.1455,55.687313,-14.941719,0.0048160668399640375,0.017284192875087798,0.003174289782256519,1093.29251115212,956.9603,136.3321840036824,-243.49907,243.49907,81486.15751658138,29496.25404474156,7.251351146999873e-07,0.00046225575420014587,37.96196507785796,0.8712412253703213,225371975.91616717,0.09868529296870804,7.496805082572823e-20,1.4199163203898106e-05,-8.953573,1.3325248,-7.6210485,True,-1439779.9476372288,1202,0.29944444444444446,1024887.1522115907,3648985.2198333275,,
557414,126,1,2019-03-20 01:40:39,2019-03-20 01:58:36,0 days 00:17:57,134.60326514571034,32.85307354917584,10883.612826497152,230.5016100901733,True,244.54923034998305,-0.12032791886433965,-0.9927342000464058,770.6304621580616,147.9604098797522,6073.705269608963,221.84653,9.4745745e-05,23050.16100901733,1.0489194932264687,0.36196268048449937,9.032699394955611e-05,18257126443603.246,9.345166623999035e-07,57.163105,-15.027492,0.1602945,0.03779462,223.14287,55.68698,-14.934061,0.004814526349146035,0.017292507223322696,0.0031610139132600234,1093.279907273106,956.91437,136.36553959732464,-243.48404,243.48404,81015.0497618432,29324.424571381867,7.310976589073216e-07,0.00046705718695607686,37.85724600412034,0.871610492513084,225354751.95377913,0.09925898605838994,7.744528856750265e-20,1.4261138111803604e-05,-9.004655,1.3503519,-7.654303,True,-1442582.9805188107,1202,0.2991666666666667,1024645.6858758864,3648942.8618422938,,
557415,127,1,2019-03-20 01:40:40,2019-03-20 01:58:36,0 days 00:00:00,134.60066627494393,32.85280889662123,10883.78947057674,230.49521187656072,False,0.0,0.0,0.0,677.5141943706227,148.2999545216338,0.0,221.84491,9.475281e-05,23049.52118765607,1.0491810037761409,0.361955275318193,9.0311213538993e-05,4523809633487.775,6.340239556050856e-07,57.161167,-15.019016,0.1599644,0.037665904,223.1415,55.685192,-14.926292,0.004812715261990092,0.017274679948949965,-0.0,1093.2672574645997,956.8683,136.39897133178715,-243.46896,243.46896,78913.13510359424,28563.025542643212,1.0138706159844073e-06,0.00070518404089012,37.99199028863541,0.8882876564852039,57326446.7005282,0.030926281972335053,2.308650069209852e-19,1.4824408622866605e-05,-2.782935,0.5703424,-2.2125926,True,0.0,1202,0.0,1024403.5914965079,3648900.4996307795,,
557416,132,1,2019-03-20 01:40:45,2019-03-20 01:58:36,0 days 00:17:51,134.58760578813826,32.85148626544874,10884.548050196967,230.4677370487505,True,239.88068052386052,-0.12372632378669132,-0.9923163793882629,769.3545665624874,148.1279753569631,6055.760689528408,221.83765,9.480323e-05,23046.77370487505,1.0505664550685374,0.36192398584147223,9.024010961130826e-05,11471050501933.504,9.638975908669595e-07,57.150402,-14.97639,0.1582891,0.037053745,223.13548,55.675144,-14.887208,0.004803401828315828,0.017271648659272828,0.0031672544009256334,1093.203558492277,956.6361,136.5674500938394,-243.39311,243.39311,81016.12260664518,29321.678011218428,8.624214032542185e-07,0.0005751563025182525,37.89727373415974,0.8783243246546639,141589724.77155572,0.06633164496611399,1.3270685006350442e-19,1.4323305805167015e-05,-5.9924474,1.05242,-4.940027,True,-911705.3662746742,1202,0.2975,1023186.9000104107,3648688.5224300576,,
557417,133,1,2019-03-20 01:40:46,2019-03-20 01:58:36,0 days 00:17:50,134.58505765060386,32.851219334756685,10884.829972622558,230.45752683859456,True,240.4296735094438,-0.12339232697723382,-0.9923579664834377,767.0708998649915,148.06151323199765,6013.2792256027715,221.83536,9.479787e-05,23045.752683859457,1.0507613951581165,0.36191168158539394,9.021826469397623e-05,11351089513513.734,9.874955861096486e-07,57.14932,-14.968124,0.15797347,0.036901355,223.1334,55.674225,-14.879639,0.004801843399876304,0.017272293058882837,0.0031537857900210005,1093.1912346223394,956.5912,136.60004809890188,-243.37854,243.37854,80803.58089216382,29243.759838804417,8.716810929484188e-07,0.0005829550800076319,37.86468649907528,0.8788841618781446,140477555.4274296,0.06584712761800865,1.3777156624531084e-19,1.4355515757712455e-05,-5.947405,1.0549594,-4.8924456,True,-902311.9921073372,1202,0.2972222222222222,1022949.5694113823,3648646.196759056,,
557418,134,1,2019-03-20 01:40:47,2019-03-20 01:58:36,0 days 00:17:49,134.58250358127924,32.8509525151791,10885.044586914853,230.44975453102492,True,240.26111951020184,-0.12356195621653011,-0.9923368596277901,766.1448559950732,147.9924687273431,5988.11482097881,221.83351,9.4800365e-05,23044.975453102492,1.0509971884403688,0.36190247298492734,9.020039860689613e-05,11394442081651.688,1.0188921055702524e-06,57.14772,-14.95981,0.15765034,0.03676555,223.13179,55.672775,-14.872021,0.004800154878068099,0.017273237868921938,0.003148976059555417,1093.1788706143093,956.546,136.6328501064968,-243.36392,243.36392,80712.70278119238,29210.126737810944,8.793670924499423e-07,0.000589444575390012,37.83144967792441,0.8793782576808745,141172847.5075526,0.06618244346674006,1.4193234015499926e-19,1.4368561974102414e-05,-5.9768615,1.0687687,-4.9080925,True,-903471.801170108,1202,0.29694444444444446,1022711.6809800013,3648603.8598897643,,
557419,135,1,2019-03-20 01:40:48,2019-03-20 01:58:36,0 days 00:17:48,134.5799513650377,32.85068551622842,10885.313294110138,230.4400235353688,True,240.27194457515955,-0.12359468684877625,-0.9923327835876193,764.4442801889383,147.78327516131276,5953.484999216597,221.8313,9.479662e-05,23044.00235353688,1.0512017231258395,0.36189080985220506,9.017928350801321e-05,18220306251937.816,1.1935629581894512e-06,57.14653,-14.951527,0.15733232,0.0366168,223.1298,55.67174,-14.864432,0.004798478622977314,0.017280539369828936,0.003142992351523699,1093.1665179398417,956.501,136.6655413773417,-243.34933,243.34933,80457.4228818708,29116.801925341562,7.918783368357408e-07,0.0005165389957553009,37.74051898739406,0.8756613195932502,226458984.1348664,0.10451374549115369,1.0117979157283072e-19,1.4363155823019253e-05,-9.47153,1.5289547,-7.9425755,True,-1458868.712843554,1202,0.2966666666666667,1022473.9663077137,3648561.518279539,,
557420,136,1,2019-03-20 01:40:49,2019-03-20 01:58:36,0 days 00:17:47,134.57739905156302,32.85041843448225,10885.545142606572,230.43162761259515,True,244.5594291033424,-0.14332091543816944,-0.9896762678765038,785.1988570606345,147.68386123120305,6616.067457083635,221.82933,9.4797164e-05,23043.162761259515,1.0514276222199197,0.3618808435539182,9.016042750574618e-05,18432819035279.13,1.2543170512135151e-06,57.145058,-14.943226,0.15701044,0.036477275,223.12808,55.67042,-14.856828,0.00479667904131503,0.01728284960748423,0.0034731767978714062,1093.1541634057091,956.45593,136.69823078852164,-243.33476,243.33476,81035.31573622863,29325.12841628452,8.038947296756354e-07,0.0005264399155195435,37.69479865909572,0.8758036081006428,227466492.4522325,0.10342991976138122,1.0551463591997738e-19,1.4336708960720427e-05,-9.370661,1.5341948,-7.836466,True,-1504832.6692409774,1202,0.29638888888888887,1022236.2419701624,3648519.172956393,,
